model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
LightGBM,Boosted trees,hypergraph,38,0.34348175268716064,2750,638,8,1646809938,"{'learning_rate': np.float64(0.01776067439566275), 'min_child_samples': 5, 'n_estimators': 200, 'num_leaves': 63}"
LightGBM,Boosted trees,hb_graph,38,0.30580722327692467,2750,638,14,1646809938,"{'learning_rate': np.float64(0.03949971996409102), 'min_child_samples': 5, 'n_estimators': 200, 'num_leaves': 127}"
LightGBM,Boosted trees,pairwise,39,0.291675254929014,2756,632,4,1646810938,"{'learning_rate': np.float64(0.011345824541879955), 'min_child_samples': 10, 'n_estimators': 200, 'num_leaves': 31}"
LightGBM,Boosted trees,hypergraph,39,0.37651685572557864,2756,632,8,1646810938,"{'learning_rate': np.float64(0.03190292952870949), 'min_child_samples': 10, 'n_estimators': 100, 'num_leaves': 15}"
LightGBM,Boosted trees,hb_graph,39,0.37280262147926885,2756,632,14,1646810938,"{'learning_rate': np.float64(0.09130236059516433), 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 127}"
LightGBM,Boosted trees,pairwise,40,0.29006557528820476,2682,706,4,1646811938,"{'learning_rate': np.float64(0.2212169728315394), 'min_child_samples': 5, 'n_estimators': 200, 'num_leaves': 63}"
LightGBM,Boosted trees,hypergraph,40,0.382250003555792,2682,706,8,1646811938,"{'learning_rate': np.float64(0.2212169728315394), 'min_child_samples': 5, 'n_estimators': 200, 'num_leaves': 63}"
LightGBM,Boosted trees,hb_graph,40,0.33974843781198283,2682,706,14,1646811938,"{'learning_rate': np.float64(0.02202863487022463), 'min_child_samples': 10, 'n_estimators': 400, 'num_leaves': 15}"
LightGBM,Boosted trees,pairwise,41,0.44607919704102655,2759,629,4,1646812938,"{'learning_rate': np.float64(0.032924382163872626), 'min_child_samples': 10, 'n_estimators': 400, 'num_leaves': 63}"
LightGBM,Boosted trees,hypergraph,41,0.4480398369002948,2759,629,8,1646812938,"{'learning_rate': np.float64(0.1049748764040368), 'min_child_samples': 5, 'n_estimators': 400, 'num_leaves': 31}"
LightGBM,Boosted trees,hb_graph,41,0.46270699970822843,2759,629,14,1646812938,"{'learning_rate': np.float64(0.032924382163872626), 'min_child_samples': 10, 'n_estimators': 400, 'num_leaves': 63}"
LightGBM,Boosted trees,pairwise,42,0.35109763149851697,2740,648,4,1646813938,"{'learning_rate': np.float64(0.03748337633697041), 'min_child_samples': 10, 'n_estimators': 100, 'num_leaves': 127}"
LightGBM,Boosted trees,hypergraph,42,0.47242980178498767,2740,648,8,1646813938,"{'learning_rate': np.float64(0.014063455657145793), 'min_child_samples': 10, 'n_estimators': 400, 'num_leaves': 127}"
LightGBM,Boosted trees,hb_graph,42,0.4557065071765256,2740,648,14,1646813938,"{'learning_rate': np.float64(0.08182877178731807), 'min_child_samples': 10, 'n_estimators': 200, 'num_leaves': 15}"
LightGBM,Boosted trees,pairwise,43,0.26944496068309326,2676,712,4,1646814938,"{'learning_rate': np.float64(0.023608006492440103), 'min_child_samples': 10, 'n_estimators': 200, 'num_leaves': 15}"
LightGBM,Boosted trees,hypergraph,43,0.23848702726104118,2676,712,8,1646814938,"{'learning_rate': np.float64(0.05106167010909956), 'min_child_samples': 5, 'n_estimators': 100, 'num_leaves': 15}"
LightGBM,Boosted trees,hb_graph,43,0.264152690599094,2676,712,14,1646814938,"{'learning_rate': np.float64(0.22329313898322767), 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 31}"
LightGBM,Boosted trees,pairwise,44,0.4654059237744957,2760,628,4,1646815938,"{'learning_rate': np.float64(0.1715105501087097), 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 15}"
LightGBM,Boosted trees,hypergraph,44,0.43913067451797766,2760,628,8,1646815938,"{'learning_rate': np.float64(0.12669708255669007), 'min_child_samples': 50, 'n_estimators': 400, 'num_leaves': 31}"
LightGBM,Boosted trees,hb_graph,44,0.4896104472660258,2760,628,14,1646815938,"{'learning_rate': np.float64(0.15636699560444237), 'min_child_samples': 5, 'n_estimators': 100, 'num_leaves': 127}"
LightGBM,Boosted trees,pairwise,45,0.4399754532377201,2801,587,4,1646816938,"{'learning_rate': np.float64(0.029685869318834813), 'min_child_samples': 5, 'n_estimators': 400, 'num_leaves': 63}"
LightGBM,Boosted trees,hypergraph,45,0.42710259603242406,2801,587,8,1646816938,"{'learning_rate': np.float64(0.04860879298245741), 'min_child_samples': 5, 'n_estimators': 400, 'num_leaves': 31}"
LightGBM,Boosted trees,hb_graph,45,0.4651142918512415,2801,587,14,1646816938,"{'learning_rate': np.float64(0.04102336901839273), 'min_child_samples': 10, 'n_estimators': 400, 'num_leaves': 31}"
LightGBM,Boosted trees,pairwise,46,0.43132567441843006,2753,635,4,1646817938,"{'learning_rate': np.float64(0.01765570041574139), 'min_child_samples': 5, 'n_estimators': 200, 'num_leaves': 63}"
LightGBM,Boosted trees,hypergraph,46,0.3942073713696811,2753,635,8,1646817938,"{'learning_rate': np.float64(0.06605836829156159), 'min_child_samples': 5, 'n_estimators': 200, 'num_leaves': 63}"
LightGBM,Boosted trees,hb_graph,46,0.4475349712354185,2753,635,14,1646817938,"{'learning_rate': np.float64(0.055808643475826224), 'min_child_samples': 5, 'n_estimators': 100, 'num_leaves': 31}"
LightGBM,Boosted trees,pairwise,47,0.21131150283171363,2817,571,4,1646818938,"{'learning_rate': np.float64(0.03645769542879016), 'min_child_samples': 5, 'n_estimators': 200, 'num_leaves': 127}"
LightGBM,Boosted trees,hypergraph,47,0.3316962229652066,2817,571,8,1646818938,"{'learning_rate': np.float64(0.2175969198800215), 'min_child_samples': 5, 'n_estimators': 100, 'num_leaves': 15}"
LightGBM,Boosted trees,hb_graph,47,0.46859692478573206,2817,571,14,1646818938,"{'learning_rate': np.float64(0.04934094983488267), 'min_child_samples': 5, 'n_estimators': 100, 'num_leaves': 63}"
LightGBM,Boosted trees,pairwise,48,0.4421618231816408,2779,609,4,1646819938,"{'learning_rate': np.float64(0.0727786301272974), 'min_child_samples': 10, 'n_estimators': 200, 'num_leaves': 63}"
LightGBM,Boosted trees,hypergraph,48,0.4852199156687052,2779,609,8,1646819938,"{'learning_rate': np.float64(0.055276822875493674), 'min_child_samples': 5, 'n_estimators': 100, 'num_leaves': 127}"
LightGBM,Boosted trees,hb_graph,48,0.4489549210431922,2779,609,14,1646819938,"{'learning_rate': np.float64(0.2835452191675812), 'min_child_samples': 20, 'n_estimators': 400, 'num_leaves': 127}"
LightGBM,Boosted trees,pairwise,49,0.3420131740760854,2793,595,4,1646820938,"{'learning_rate': np.float64(0.24025425176322826), 'min_child_samples': 5, 'n_estimators': 100, 'num_leaves': 127}"
LightGBM,Boosted trees,hypergraph,49,0.2869592933839158,2793,595,8,1646820938,"{'learning_rate': np.float64(0.05856470443562192), 'min_child_samples': 5, 'n_estimators': 100, 'num_leaves': 15}"
LightGBM,Boosted trees,hb_graph,49,0.3245630900086145,2793,595,14,1646820938,"{'learning_rate': np.float64(0.048253969066456674), 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 31}"
LightGBM,Boosted trees,pairwise,50,0.210069851839487,2780,608,4,1646821938,"{'learning_rate': np.float64(0.057803541571758134), 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 63}"
LightGBM,Boosted trees,hypergraph,50,0.24186058306021016,2780,608,8,1646821938,"{'learning_rate': np.float64(0.07238760165844949), 'min_child_samples': 50, 'n_estimators': 400, 'num_leaves': 63}"
LightGBM,Boosted trees,hb_graph,50,0.21181079962554503,2780,608,14,1646821938,"{'learning_rate': np.float64(0.04605812383021342), 'min_child_samples': 20, 'n_estimators': 400, 'num_leaves': 31}"
TabPFN,Amortised,pairwise,1,0.2732046512064517,2763,625,4,1213932709,{}
TabPFN,Amortised,hypergraph,1,0.382310813813898,2763,625,8,1213932709,{}
TabPFN,Amortised,hb_graph,1,0.43324264402114937,2763,625,14,1213932709,{}
TabPFN,Amortised,pairwise,2,0.29932278139126467,2693,695,4,1213933709,{}
TabPFN,Amortised,hypergraph,2,0.3139851429367416,2693,695,8,1213933709,{}
TabPFN,Amortised,hb_graph,2,0.3368025186443481,2693,695,14,1213933709,{}
TabPFN,Amortised,pairwise,3,0.307220763505587,2704,684,4,1213934709,{}
TabPFN,Amortised,hypergraph,3,0.3618254997986597,2704,684,8,1213934709,{}
TabPFN,Amortised,hb_graph,3,0.3965121444279631,2704,684,14,1213934709,{}
TabPFN,Amortised,pairwise,4,0.4450724657916763,2773,615,4,1213935709,{}
TabPFN,Amortised,hypergraph,4,0.48743368165909967,2773,615,8,1213935709,{}
TabPFN,Amortised,hb_graph,4,0.48663238858824737,2773,615,14,1213935709,{}
TabPFN,Amortised,pairwise,5,0.3340581459405953,2599,789,4,1213936709,{}
TabPFN,Amortised,hypergraph,5,0.3880603269963367,2599,789,8,1213936709,{}
TabPFN,Amortised,hb_graph,5,0.45033815260894206,2599,789,14,1213936709,{}
TabPFN,Amortised,pairwise,6,0.32800013702463626,2705,683,4,1213937709,{}
TabPFN,Amortised,hypergraph,6,0.38383626392836523,2705,683,8,1213937709,{}
TabPFN,Amortised,hb_graph,6,0.4205791612262218,2705,683,14,1213937709,{}
TabPFN,Amortised,pairwise,7,0.20313322773590567,2782,606,4,1213938709,{}
TabPFN,Amortised,hypergraph,7,0.3863093330770246,2782,606,8,1213938709,{}
TabPFN,Amortised,hb_graph,7,0.4409647963565727,2782,606,14,1213938709,{}
TabPFN,Amortised,pairwise,8,0.4733551651383963,2743,645,4,1213939709,{}
TabPFN,Amortised,hypergraph,8,0.5744676892953241,2743,645,8,1213939709,{}
TabPFN,Amortised,hb_graph,8,0.584732482109056,2743,645,14,1213939709,{}
TabPFN,Amortised,pairwise,9,0.2591447614699845,2813,575,4,1213940709,{}
TabPFN,Amortised,hypergraph,9,0.47520130451224063,2813,575,8,1213940709,{}
TabPFN,Amortised,hb_graph,9,0.46855792087054843,2813,575,14,1213940709,{}
TabPFN,Amortised,pairwise,10,0.29698649056435733,2763,625,4,1213941709,{}
TabPFN,Amortised,hypergraph,10,0.46887801063960327,2763,625,8,1213941709,{}
TabPFN,Amortised,hb_graph,10,0.46799927547161824,2763,625,14,1213941709,{}
TabPFN,Amortised,pairwise,11,0.3965963306409045,2740,648,4,1213942709,{}
TabPFN,Amortised,hypergraph,11,0.49645579495934183,2740,648,8,1213942709,{}
TabPFN,Amortised,hb_graph,11,0.5416824544090121,2740,648,14,1213942709,{}
TabPFN,Amortised,pairwise,12,0.25645811779816857,2752,636,4,1213943709,{}
TabPFN,Amortised,hypergraph,12,0.46561859007670414,2752,636,8,1213943709,{}
TabPFN,Amortised,hb_graph,12,0.5032583917359618,2752,636,14,1213943709,{}
TabPFN,Amortised,pairwise,13,0.26417162914698455,2670,718,4,1213944709,{}
TabPFN,Amortised,hypergraph,13,0.30035854498550396,2670,718,8,1213944709,{}
TabPFN,Amortised,hb_graph,13,0.3302590696464524,2670,718,14,1213944709,{}
TabPFN,Amortised,pairwise,14,0.3637377112477183,2713,675,4,1213945709,{}
TabPFN,Amortised,hypergraph,14,0.4380434286959531,2713,675,8,1213945709,{}
TabPFN,Amortised,hb_graph,14,0.45096353633887687,2713,675,14,1213945709,{}
TabPFN,Amortised,pairwise,15,0.39278821649910733,2731,657,4,1213946709,{}
TabPFN,Amortised,hypergraph,15,0.3903203346220055,2731,657,8,1213946709,{}
TabPFN,Amortised,hb_graph,15,0.3672579289898961,2731,657,14,1213946709,{}
TabPFN,Amortised,pairwise,16,0.34019908730919646,2752,636,4,1213947709,{}
TabPFN,Amortised,hypergraph,16,0.5244517632840665,2752,636,8,1213947709,{}
TabPFN,Amortised,hb_graph,16,0.5209700201557598,2752,636,14,1213947709,{}
TabPFN,Amortised,pairwise,17,0.31807089205162,2702,686,4,1213948709,{}
TabPFN,Amortised,hypergraph,17,0.3487852893458985,2702,686,8,1213948709,{}
TabPFN,Amortised,hb_graph,17,0.369049530351354,2702,686,14,1213948709,{}
TabPFN,Amortised,pairwise,18,0.32605596522331937,2693,695,4,1213949709,{}
TabPFN,Amortised,hypergraph,18,0.4182589116553989,2693,695,8,1213949709,{}
TabPFN,Amortised,hb_graph,18,0.4252163449911599,2693,695,14,1213949709,{}
TabPFN,Amortised,pairwise,19,0.2947302362809902,2736,652,4,1213950709,{}
TabPFN,Amortised,hypergraph,19,0.4646156901975089,2736,652,8,1213950709,{}
TabPFN,Amortised,hb_graph,19,0.5116638888455398,2736,652,14,1213950709,{}
TabPFN,Amortised,pairwise,20,0.32467881566745904,2637,751,4,1213951709,{}
TabPFN,Amortised,hypergraph,20,0.510224111491097,2637,751,8,1213951709,{}
TabPFN,Amortised,hb_graph,20,0.5413330995954232,2637,751,14,1213951709,{}
TabPFN,Amortised,pairwise,21,0.36847481976583457,2775,613,4,1213952709,{}
TabPFN,Amortised,hypergraph,21,0.5088498869529515,2775,613,8,1213952709,{}
TabPFN,Amortised,hb_graph,21,0.5346393500764435,2775,613,14,1213952709,{}
TabPFN,Amortised,pairwise,22,0.23754697350215576,2701,687,4,1213953709,{}
TabPFN,Amortised,hypergraph,22,0.33628314667556397,2701,687,8,1213953709,{}
TabPFN,Amortised,hb_graph,22,0.291727494033857,2701,687,14,1213953709,{}
TabPFN,Amortised,pairwise,23,0.23785516032950862,2809,579,4,1213954709,{}
TabPFN,Amortised,hypergraph,23,0.3402619653827569,2809,579,8,1213954709,{}
TabPFN,Amortised,hb_graph,23,0.4089131585097415,2809,579,14,1213954709,{}
TabPFN,Amortised,pairwise,24,0.23167856969331715,2805,583,4,1213955709,{}
TabPFN,Amortised,hypergraph,24,0.2996418762567744,2805,583,8,1213955709,{}
TabPFN,Amortised,hb_graph,24,0.36940963442492064,2805,583,14,1213955709,{}
TabPFN,Amortised,pairwise,25,0.30899020111161407,2652,736,4,1213956709,{}
TabPFN,Amortised,hypergraph,25,0.5092770973240309,2652,736,8,1213956709,{}
TabPFN,Amortised,hb_graph,25,0.5606847875842331,2652,736,14,1213956709,{}
TabPFN,Amortised,pairwise,26,0.20560888967637264,2778,610,4,1213957709,{}
TabPFN,Amortised,hypergraph,26,0.2535816270821486,2778,610,8,1213957709,{}
TabPFN,Amortised,hb_graph,26,0.22396262308446244,2778,610,14,1213957709,{}
TabPFN,Amortised,pairwise,27,0.27321810768892196,2780,608,4,1213958709,{}
TabPFN,Amortised,hypergraph,27,0.3397639440457099,2780,608,8,1213958709,{}
TabPFN,Amortised,hb_graph,27,0.4574600331736053,2780,608,14,1213958709,{}
TabPFN,Amortised,pairwise,28,0.211790753886263,2781,607,4,1213959709,{}
TabPFN,Amortised,hypergraph,28,0.38103312135508105,2781,607,8,1213959709,{}
TabPFN,Amortised,hb_graph,28,0.48209296712525856,2781,607,14,1213959709,{}
TabPFN,Amortised,pairwise,29,0.1959788195315945,2652,736,4,1213960709,{}
TabPFN,Amortised,hypergraph,29,0.2744364843389466,2652,736,8,1213960709,{}
TabPFN,Amortised,hb_graph,29,0.30123524706332966,2652,736,14,1213960709,{}
TabPFN,Amortised,pairwise,30,0.2772987700332089,2637,751,4,1213961709,{}
TabPFN,Amortised,hypergraph,30,0.3814814844344694,2637,751,8,1213961709,{}
TabPFN,Amortised,hb_graph,30,0.37408579179355406,2637,751,14,1213961709,{}
TabPFN,Amortised,pairwise,31,0.3131374722085772,2748,640,4,1213962709,{}
TabPFN,Amortised,hypergraph,31,0.38713540568034804,2748,640,8,1213962709,{}
TabPFN,Amortised,hb_graph,31,0.40467423777433353,2748,640,14,1213962709,{}
TabPFN,Amortised,pairwise,32,0.4681511400427557,2692,696,4,1213963709,{}
TabPFN,Amortised,hypergraph,32,0.5743907615525695,2692,696,8,1213963709,{}
TabPFN,Amortised,hb_graph,32,0.5953360347566317,2692,696,14,1213963709,{}
TabPFN,Amortised,pairwise,33,0.25715766488711855,2742,646,4,1213964709,{}
TabPFN,Amortised,hypergraph,33,0.39975863076588364,2742,646,8,1213964709,{}
TabPFN,Amortised,hb_graph,33,0.39061892354701055,2742,646,14,1213964709,{}
TabPFN,Amortised,pairwise,34,0.27291515024557983,2753,635,4,1213965709,{}
TabPFN,Amortised,hypergraph,34,0.43565096423333555,2753,635,8,1213965709,{}
TabPFN,Amortised,hb_graph,34,0.5518349635240085,2753,635,14,1213965709,{}
TabPFN,Amortised,pairwise,35,0.3943373508916667,2775,613,4,1213966709,{}
TabPFN,Amortised,hypergraph,35,0.5524010873319976,2775,613,8,1213966709,{}
TabPFN,Amortised,hb_graph,35,0.6857592802282027,2775,613,14,1213966709,{}
TabPFN,Amortised,pairwise,36,0.1643771901229242,2737,651,4,1213967709,{}
TabPFN,Amortised,hypergraph,36,0.23255313172602587,2737,651,8,1213967709,{}
TabPFN,Amortised,hb_graph,36,0.32079415379224935,2737,651,14,1213967709,{}
TabPFN,Amortised,pairwise,37,0.17374593020635465,2793,595,4,1213968709,{}
TabPFN,Amortised,hypergraph,37,0.2793567732619481,2793,595,8,1213968709,{}
TabPFN,Amortised,hb_graph,37,0.2906996687871875,2793,595,14,1213968709,{}
TabPFN,Amortised,pairwise,38,0.30263035990050885,2750,638,4,1213969709,{}
TabPFN,Amortised,hypergraph,38,0.47544927202489673,2750,638,8,1213969709,{}
TabPFN,Amortised,hb_graph,38,0.5065959510324886,2750,638,14,1213969709,{}
TabPFN,Amortised,pairwise,39,0.2174628117835951,2756,632,4,1213970709,{}
TabPFN,Amortised,hypergraph,39,0.38170259879242313,2756,632,8,1213970709,{}
TabPFN,Amortised,hb_graph,39,0.415089417806116,2756,632,14,1213970709,{}
TabPFN,Amortised,pairwise,40,0.35091954133196346,2682,706,4,1213971709,{}
TabPFN,Amortised,hypergraph,40,0.41237770746262853,2682,706,8,1213971709,{}
TabPFN,Amortised,hb_graph,40,0.4506867668897095,2682,706,14,1213971709,{}
TabPFN,Amortised,pairwise,41,0.398477395040232,2759,629,4,1213972709,{}
TabPFN,Amortised,hypergraph,41,0.4926622623545189,2759,629,8,1213972709,{}
TabPFN,Amortised,hb_graph,41,0.4870577900426667,2759,629,14,1213972709,{}
TabPFN,Amortised,pairwise,42,0.346562644759329,2740,648,4,1213973709,{}
TabPFN,Amortised,hypergraph,42,0.476494414830493,2740,648,8,1213973709,{}
TabPFN,Amortised,hb_graph,42,0.46650271433894813,2740,648,14,1213973709,{}
TabPFN,Amortised,pairwise,43,0.2716568635669544,2676,712,4,1213974709,{}
TabPFN,Amortised,hypergraph,43,0.3093375077010591,2676,712,8,1213974709,{}
TabPFN,Amortised,hb_graph,43,0.3224640638984785,2676,712,14,1213974709,{}
TabPFN,Amortised,pairwise,44,0.42610407956481944,2760,628,4,1213975709,{}
TabPFN,Amortised,hypergraph,44,0.46163178414974054,2760,628,8,1213975709,{}
TabPFN,Amortised,hb_graph,44,0.47575884518053846,2760,628,14,1213975709,{}
TabPFN,Amortised,pairwise,45,0.42856471551692205,2801,587,4,1213976709,{}
TabPFN,Amortised,hypergraph,45,0.475272354131003,2801,587,8,1213976709,{}
TabPFN,Amortised,hb_graph,45,0.48811847576865675,2801,587,14,1213976709,{}
TabPFN,Amortised,pairwise,46,0.38096077874188033,2753,635,4,1213977709,{}
TabPFN,Amortised,hypergraph,46,0.4665471608404039,2753,635,8,1213977709,{}
TabPFN,Amortised,hb_graph,46,0.4853513115070735,2753,635,14,1213977709,{}
TabPFN,Amortised,pairwise,47,0.29992565470626,2817,571,4,1213978709,{}
TabPFN,Amortised,hypergraph,47,0.5051769230121197,2817,571,8,1213978709,{}
TabPFN,Amortised,hb_graph,47,0.6063731354971609,2817,571,14,1213978709,{}
TabPFN,Amortised,pairwise,48,0.4687512863061686,2779,609,4,1213979709,{}
TabPFN,Amortised,hypergraph,48,0.45486096126110764,2779,609,8,1213979709,{}
TabPFN,Amortised,hb_graph,48,0.4537994169121322,2779,609,14,1213979709,{}
