split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hyper_flag_pr_auc,hyper_flag_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff,annot_pr_auc_diff,value_pr_auc_diff
1,2644,667,22.88199697428139,25.187406296851574,0.6247474306965747,0.5645933014354066,0.6716829811473753,0.5613207547169812,0.6711267180155569,0.5614849187935035,0.7096667939260517,0.5700934579439252,0.08491936322947702,0.005500156508518539,0.03798381277867635,0.008772703226944012,-0.0005562631318184463,0.0385400759104948
2,2673,638,22.933034044145156,25.07836990595611,0.46049912857883757,0.47668393782383417,0.5693950781229565,0.5333333333333333,0.6042636804821255,0.5694444444444444,0.592027364920727,0.5611510791366906,0.13152823634188948,0.08446714131285643,0.022632286797770518,0.027817745803357274,0.034868602359169,-0.01223631556139848
3,2729,582,23.158666178087213,24.22680412371134,0.5710179708615909,0.5227272727272727,0.6079910005468201,0.536986301369863,0.6258717062691631,0.5399449035812672,0.5744166730839028,0.5449591280653951,0.003398702222311867,0.02223185533812244,-0.03357432746291733,0.00797282669553212,0.017880705722343015,-0.051455033185260346
4,2646,665,23.809523809523807,21.503759398496243,0.5621228463436887,0.5014084507042254,0.5888739733067381,0.5478723404255319,0.6120077827703577,0.5459459459459459,0.649716618095369,0.5390835579514824,0.08759377175168026,0.03767510724725709,0.060842644788630884,-0.008788782474049461,0.023133809463619648,0.037708835325011236
5,2640,671,24.924242424242422,17.138599105812222,0.4394840844974669,0.42911877394636017,0.4585744702588325,0.4565916398713826,0.45188374959173244,0.5242718446601942,0.47036632744088663,0.4884488448844885,0.030882242943419735,0.05933007093812831,0.01179185718205411,0.03185720501310585,-0.006690720667100081,0.01848257784915419
6,2651,660,22.632968691059975,26.212121212121215,0.5848048892143278,0.5691489361702128,0.6268975048783981,0.6009852216748769,0.6458882588348841,0.5945945945945946,0.667090262416427,0.5955334987593052,0.08228537320209917,0.026384562589092386,0.04019275753802887,-0.005451722915571722,0.018990753956485973,0.021202003581542894
7,2652,659,24.58521870286576,18.361153262518968,0.5327943148177854,0.4450402144772118,0.5454033632215002,0.4463768115942029,0.5445810700943523,0.44970414201183434,0.5914876885251874,0.4807121661721068,0.05869337370740202,0.03567195169489501,0.046084325303687224,0.03433535457790393,-0.0008222931271478773,0.0469066184308351
8,2680,631,23.507462686567166,22.66244057052298,0.5655266653364855,0.5243243243243243,0.5494862887921473,0.46900269541778977,0.5594132077122571,0.46866485013623976,0.5674955588583858,0.5263157894736842,0.001968893521900217,0.0019914651493598834,0.018009270066238425,0.05731309405589441,0.009926918920109773,0.008082351146128652
9,2718,593,23.5467255334805,22.4283305227656,0.5771282967732482,0.5292096219931272,0.6257076520760118,0.5804597701149425,0.6129670588444203,0.5648414985590778,0.6365012168615263,0.5705882352941176,0.0593729200882781,0.04137861330099046,0.01079356478551452,-0.009871534820824923,-0.01274059323159149,0.02353415801710601
10,2657,654,22.318404215280392,27.522935779816514,0.623007017516668,0.5887850467289719,0.6421280922899034,0.5822222222222222,0.6520098520342223,0.5874439461883408,0.6614490966397547,0.5950782997762863,0.038442079123086725,0.006293253047314429,0.01932100434985129,0.01285607755406415,0.00988175974431893,0.00943924460553236
11,2701,610,23.32469455757127,23.442622950819672,0.6237252626369051,0.5194805194805194,0.665609041347761,0.5148514851485149,0.6434739412478911,0.5161290322580645,0.5985823819067494,0.5257985257985258,-0.025142880730155692,0.006318006318006386,-0.0670266594410116,0.010947040650010953,-0.022135100099869853,-0.04489155934114175
12,2655,656,24.708097928436914,17.835365853658537,0.3121077676265467,0.33613445378151263,0.3528873685165479,0.3987730061349693,0.3599555233173778,0.40131578947368424,0.36186864242518535,0.40634920634920635,0.049760874798638666,0.07021475256769372,0.008981273908637455,0.00757620021423705,0.0070681548008298956,0.0019131191078075593
13,2651,660,22.29347416069408,27.575757575757574,0.6617873549621203,0.5954545454545455,0.6693730567069017,0.6308724832214765,0.6893053365857849,0.6119733924611973,0.6832152318532322,0.6013363028953229,0.02142787689111192,0.0058817574407774575,0.01384217514633046,-0.02953618032615357,0.01993227987888313,-0.00609010473255267
14,2666,645,24.756189047261813,17.519379844961243,0.2418496478188905,0.3689839572192513,0.3036846987361581,0.3954802259887006,0.3092048961714258,0.38071065989847713,0.2995142883391958,0.37349397590361444,0.05766464052030529,0.004510018684363126,-0.00417041039696231,-0.021986250085086145,0.005520197435267715,-0.009690607832230025
15,2660,651,23.984962406015036,20.737327188940093,0.45119315811935967,0.4816053511705686,0.49639796703684946,0.4807692307692308,0.49970726618053274,0.49032258064516127,0.5159724123379525,0.5052631578947369,0.06477925421859287,0.023657806724168284,0.019574445301103083,0.024493927125506076,0.0033092991436832753,0.016265146157419808
