split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_drug_target,test_drug_target,train_non_target,test_non_target,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,1042,2,True,2791,82.23,603,17.77,2.23,False,164,42,2622,560,0,0,5.89,6.98,0.9,False,0,127,203,162,110,13.1,18.9,20.4,20.0,6.3,5.9,8.0,8.2
2,43,1,True,2746,80.91,648,19.09,0.91,False,168,38,2573,609,0,0,6.13,5.87,0.21,False,0,180,197,160,110,18.6,18.3,20.2,20.0,7.2,6.6,2.5,7.3
3,44,1,True,2694,79.38,700,20.62,0.62,False,157,49,2532,650,0,0,5.84,7.01,0.93,False,0,243,203,143,110,25.1,18.9,18.0,20.0,11.1,3.9,5.6,5.5
4,3045,4,True,2662,78.43,732,21.57,1.57,False,159,47,2498,684,0,0,5.98,6.43,0.35,False,0,257,219,145,110,26.5,20.4,18.3,20.0,0.0,12.8,6.9,8.2
5,46,1,True,2690,79.26,704,20.74,0.74,False,159,47,2526,656,0,0,5.92,6.69,0.61,False,0,212,224,157,110,21.9,20.8,19.8,20.0,12.7,2.7,4.5,6.4
6,47,1,True,2766,81.5,628,18.5,1.5,False,174,32,2587,595,0,0,6.3,5.1,0.98,False,0,146,218,153,110,15.1,20.3,19.3,20.0,4.8,4.1,5.9,6.4
7,48,1,True,2798,82.44,596,17.56,2.44,False,175,31,2618,564,0,0,6.27,5.21,0.87,False,0,125,213,147,110,12.9,19.8,18.5,20.0,1.6,6.1,5.4,7.3
8,49,1,True,2792,82.26,602,17.74,2.26,False,176,30,2611,571,0,0,6.32,4.99,1.09,False,0,134,209,148,110,13.8,19.4,18.7,20.0,2.2,6.7,4.1,6.4
9,50,1,True,2766,81.5,628,18.5,1.5,False,171,35,2590,592,0,0,6.19,5.58,0.5,False,0,162,192,163,110,16.7,17.9,20.6,20.0,1.2,10.4,3.7,6.4
10,51,1,True,2764,81.44,630,18.56,1.44,False,175,31,2584,598,0,0,6.34,4.93,1.15,False,0,177,197,145,110,18.2,18.3,18.3,20.0,1.1,6.6,4.1,9.1
11,52,1,True,2813,82.88,581,17.12,2.88,False,168,38,2640,542,0,0,5.98,6.55,0.47,False,0,126,185,159,110,13.0,17.2,20.1,20.0,10.3,5.9,3.8,7.3
12,2053,3,True,2726,80.32,668,19.68,0.32,False,173,33,2548,634,0,0,6.36,4.95,1.13,False,0,210,188,159,110,21.6,17.5,20.1,20.0,3.8,3.2,6.3,8.2
