Feature,Coefficient,Std Error,z,p-value,Odds Ratio,OR 95% CI Lower,OR 95% CI Upper,Model
const,-2.446246448528005,0.06366614187203314,-38.423035802057555,0.0,0.08661810258089385,0.07645677017471365,0.09812990631921302,Univariate: stoich_WeightedTriangles
stoich_WeightedTriangles,-0.12875801858542732,0.08938050163876232,-1.4405604827080971,0.14970889132217877,0.8791866866453768,0.7379047094406233,1.0475190361102773,Univariate: stoich_WeightedTriangles
const,-2.4432582442103743,0.06340734923396454,-38.5327296240548,0.0,0.08687732227682944,0.07672448697326924,0.09837366691838147,Univariate: stoich_AvgNeighbourDegreeStoich
stoich_AvgNeighbourDegreeStoich,-0.08567740312609794,0.07438398450865726,-1.1518259433403475,0.24939260481895764,0.917890292002227,0.7933686114257792,1.0619560391200993,Univariate: stoich_AvgNeighbourDegreeStoich
const,-2.4404953108906415,0.06322378627320888,-38.60090410189184,0.0,0.08711769043296085,0.0769644497766966,0.09861035852777777,Univariate: stoich_RangeComplexSize
stoich_RangeComplexSize,0.012404587443116205,0.05680781784218644,0.21836056927193478,0.8271481853898064,1.0124818434504133,0.9058000528010242,1.1317282220803022,Univariate: stoich_RangeComplexSize
const,-2.4407573895134047,0.06324116873446177,-38.59443837544659,0.0,0.08709486174022071,0.0769416603126998,0.09858787698003593,Univariate: stoich_MedComplexSize
stoich_MedComplexSize,-0.029015195963976368,0.07141798491072293,-0.4062729577185246,0.6845420527119584,0.9714017029691626,0.844515765692762,1.1173518682121113,Univariate: stoich_MedComplexSize
const,-2.637463751793496,0.07277515371343585,-36.241266657834124,1.3640626646520083e-287,0.0715424891601177,0.06203227703629778,0.08251071860912994,Univariate: stoich_MedianRatio
stoich_MedianRatio,0.6502836537405184,0.05330603538913347,12.19906243248921,3.1442338429290595e-34,1.916084256404124,1.7259985355896654,2.127104283078354,Univariate: stoich_MedianRatio
const,-2.497782033995616,0.06565170481280654,-38.04595845785834,0.0,0.08226726241304196,0.07233428836802444,0.09356423651398048,Univariate: stoich_RangeRatio
stoich_RangeRatio,0.3272104847223756,0.039310003292344284,8.323847807616456,8.515292620684898e-17,1.3870934084266724,1.2842363917378516,1.4981884457401913,Univariate: stoich_RangeRatio
const,-2.6606630016262365,0.0738767380841235,-36.01489549520361,4.890644964420431e-284,0.06990186133009965,0.06047902020438447,0.08079281378732137,Multivariate
stoich_WeightedTriangles,0.006048945810537242,0.09262261304130408,0.06530744072011636,0.9479292181559347,1.0060672776273292,0.8390474322009486,1.206333907080064,Multivariate
stoich_AvgNeighbourDegreeStoich,-0.09872638884590168,0.07978441695397111,-1.2374144302246202,0.21593326426708548,0.9059905632376363,0.7748382565751946,1.059342248153428,Multivariate
stoich_RangeComplexSize,0.004159315073933901,0.0739869083875318,0.0562169059983972,0.9551690134210965,1.0041679770299805,0.8686175443235583,1.1608714706283596,Multivariate
stoich_MedComplexSize,-0.005904327768167044,0.09445284665311486,-0.06251085041249343,0.9501560214602655,0.994113068520394,0.8261090392093178,1.1962837181262584,Multivariate
stoich_MedianRatio,0.5968964024397867,0.05593121560090847,10.671972636870269,1.376721167268916e-26,1.8164724434692718,1.627871338823271,2.026924400713614,Multivariate
stoich_RangeRatio,0.1978489838189255,0.040907307236203755,4.836519369914071,1.3213240229714043e-06,1.218778324675114,1.1248752436023668,1.3205203093819355,Multivariate
