split_index,seed_accepted,UniProt_AC,group_id,group_size,group_bucket,group_status,split,protein_label,label_mask
1,2042,A0A5B9,grp_0222,113.0,large,constrained,train,Non_target,True
1,2042,A0AVF1,grp_0018,48.0,large,constrained,train,Non_target,True
1,2042,A0JLT2,grp_0000,51.0,large,constrained,train,Non_target,True
1,2042,A0M8Q6,grp_0222,113.0,large,constrained,train,Non_target,True
1,2042,A1L190,grp_0001,1.0,singleton,constrained,train,Non_target,True
1,2042,A2RRP1,grp_1179,89.0,large,constrained,train,Non_target,True
1,2042,A4GXA9,grp_0002,3.0,small,constrained,train,Non_target,True
1,2042,A5D8V6,grp_1284,14.0,medium,constrained,train,Non_target,True
1,2042,A5D8V7,grp_1013,2.0,small,constrained,train,Non_target,True
1,2042,A5LHX3,grp_0821,33.0,large,constrained,train,Non_target,True
1,2042,A5PLN9,grp_0003,15.0,medium,constrained,train,Non_target,True
1,2042,A5X5Y0,grp_0211,16.0,medium,constrained,train,Drug_target,True
1,2042,A5YKK6,grp_0004,1.0,singleton,constrained,train,Non_target,True
1,2042,A6H8Y1,grp_0005,1.0,singleton,constrained,train,Non_target,True
1,2042,A6NGQ2,grp_0006,4.0,small,constrained,test,Non_target,True
1,2042,A6NHQ4,grp_0007,18.0,medium,constrained,train,Non_target,True
1,2042,A6NHX0,grp_0768,3.0,small,constrained,train,Non_target,True
1,2042,A7MCY6,grp_0824,2.0,small,constrained,train,Non_target,True
1,2042,A8K0Z3,grp_0009,6.0,medium,constrained,test,Non_target,True
1,2042,A8MT69,grp_0301,7.0,medium,constrained,train,Non_target,True
1,2042,A8MTZ0,grp_0008,1.0,singleton,constrained,train,Non_target,True
1,2042,A8MW99,grp_0848,2.0,small,constrained,train,Non_target,True
1,2042,A8MWX3,grp_0009,6.0,medium,constrained,test,Non_target,True
1,2042,A8MZ26,grp_0697,17.0,medium,constrained,train,Non_target,True
1,2042,A9QM74,grp_1301,5.0,small,constrained,train,Non_target,True
1,2042,A9UHW6,grp_0094,5.0,small,constrained,train,Non_target,True
1,2042,B1AL88,grp_0716,2.0,small,constrained,test,Non_target,True
1,2042,B7Z8K6,grp_0010,1.0,singleton,constrained,test,Non_target,True
1,2042,C4AMC7,grp_0009,6.0,medium,constrained,test,Non_target,True
1,2042,C9JR72,grp_1186,47.0,large,constrained,train,Non_target,True
1,2042,D6RGH6,grp_0011,1.0,singleton,constrained,train,Non_target,True
1,2042,E9PQX1,grp_0012,1.0,singleton,constrained,train,Non_target,True
1,2042,K9M1U5,grp_0222,113.0,large,constrained,train,Non_target,True
1,2042,L0R819,grp_0969,8.0,medium,constrained,train,Non_target,True
1,2042,O00148,grp_0688,12.0,medium,constrained,test,Non_target,True
1,2042,O00159,grp_0013,1.0,singleton,constrained,train,Non_target,True
1,2042,O00168,grp_0014,1.0,singleton,constrained,train,Non_target,True
1,2042,O00187,grp_0015,1.0,singleton,constrained,train,Non_target,True
1,2042,O00189,grp_0016,1.0,singleton,constrained,train,Non_target,True
1,2042,O00203,grp_0738,23.0,large,constrained,train,Non_target,True
1,2042,O00206,grp_1038,5.0,small,constrained,train,Drug_target,True
1,2042,O00217,grp_0017,17.0,medium,constrained,train,Non_target,True
1,2042,O00219,grp_0119,8.0,medium,constrained,train,Non_target,True
1,2042,O00231,grp_0821,33.0,large,constrained,train,Non_target,True
1,2042,O00232,grp_0821,33.0,large,constrained,train,Non_target,True
1,2042,O00255,grp_0020,1.0,singleton,constrained,train,Non_target,True
1,2042,O00257,grp_0165,8.0,medium,constrained,train,Non_target,True
1,2042,O00258,grp_0103,3.0,small,constrained,train,Non_target,True
1,2042,O00267,grp_0841,5.0,small,constrained,train,Non_target,True
1,2042,O00268,grp_0021,1.0,singleton,constrained,train,Non_target,True
1,2042,O00273,grp_0022,1.0,singleton,constrained,test,Non_target,True
1,2042,O00287,grp_0023,1.0,singleton,constrained,train,Non_target,True
1,2042,O00300,grp_0101,40.0,large,constrained,train,Non_target,True
1,2042,O00303,grp_0024,13.0,medium,constrained,train,Non_target,True
1,2042,O00305,grp_0025,1.0,singleton,constrained,test,Drug_target,True
